protein,Fasta_headers,T0.1,T0.2,T0.3,T2.1,T2.2,T2.3,T4.1,T4.2,T4.3,T6.1,T6.2,T6.3,T8.1,T8.2,T8.3
jgi|Aurli1|42671|fgenesh1_kg.2_#_399_#_isotig06602,jgi|Aurli1|42671|fgenesh1_kg.2_#_399_#_isotig06602,2568592.771,2240147.781,2871955.592,2319500,1967330.313,2327420.682,2072265.791,1717748.535,1962719.809,2146458.128,1820110.58,2017038.559,2193310.88,1837382.877,2032179.2
jgi|Aurli1|42695|fgenesh1_kg.2_#_423_#_isotig06939,jgi|Aurli1|42695|fgenesh1_kg.2_#_423_#_isotig06939,334409.8007,440409.5612,429803.6956,325340,506201.7175,505701.8357,305877.3704,472519.854,549858.6214,295731.7553,493711.5225,527383.9115,285562.8928,446297.638,481940.5062
jgi|Aurli1|42704|fgenesh1_kg.2_#_432_#_isotig10042,jgi|Aurli1|42704|fgenesh1_kg.2_#_432_#_isotig10042,335278.1948,329704.8551,350355.8038,351810,335723.41,363586.1288,395453.6033,403817.452,442607.8331,405662.6595,439311.0645,481382.3092,412684.1229,444709.597,470938.2989
jgi|Aurli1|42723|fgenesh1_kg.2_#_451_#_isotig02591,jgi|Aurli1|42723|fgenesh1_kg.2_#_451_#_isotig02591,285008.9073,332655.7355,271372.3256,292700,335181.3643,323089.5434,296512.8899,410536.905,317397.5171,261913.8735,323590.836,267143.2518,258303.06,315807.1418,279864.3247
jgi|Aurli1|42728|fgenesh1_kg.2_#_456_#_isotig09868,jgi|Aurli1|42728|fgenesh1_kg.2_#_456_#_isotig09868,764938.148,634626.0502,1026564.067,761060,622150.2253,896456.1184,822846.9466,678617.6359,915350.7633,858289.5351,807792.0698,1069313.831,927666.0031,852158.328,1095942.099
jgi|Aurli1|42729|fgenesh1_kg.2_#_457_#_isotig08771,jgi|Aurli1|42729|fgenesh1_kg.2_#_457_#_isotig08771,26931.92694,105867.5034,205458.772,28932,115406.4621,208990.269,26333.61495,141570.2995,187224.7,39875.52634,102192.9224,181395.8888,34360.50062,100956.8057,222385.2875
jgi|Aurli1|42731|fgenesh1_kg.2_#_459_#_isotig03035,jgi|Aurli1|42731|fgenesh1_kg.2_#_459_#_isotig03035,1034852.609,1108914.707,647856.9211,861390,894030.5045,538377.9901,800803.2108,849798.7649,497544.1827,717001.8888,765251.8556,457640.6847,753754.9236,842455.7844,475263.0659
jgi|Aurli1|42736|fgenesh1_kg.2_#_464_#_isotig05771,jgi|Aurli1|42736|fgenesh1_kg.2_#_464_#_isotig05771,8451426.402,6494551.58,6685896.695,7251700,5996898.216,5931791.082,7197700.127,6144388.488,6285497.097,7243245.388,6302599.862,6226561.461,7179825.084,6207691.251,6241388.465
jgi|Aurli1|42758|fgenesh1_kg.3_#_16_#_isotig07312,jgi|Aurli1|42758|fgenesh1_kg.3_#_16_#_isotig07312,613388.7352,377441.8823,740938.6682,510450,397841.8498,752213.905,603240.6982,457356.3197,839911.7449,542969.9442,454304.5819,892492.232,572065.105,478252.1228,916700.6872
jgi|Aurli1|42764|fgenesh1_kg.3_#_22_#_isotig03276,jgi|Aurli1|42764|fgenesh1_kg.3_#_22_#_isotig03276,1055050.09,1970086.195,1803362.097,1174400,2247420.121,2104776.615,1055219.427,2057585.108,1948991.348,996204.5086,1773714.029,1757397.614,916355.0316,1587363.241,1585286.606
