label,condition,replicate,name,intensity,Protein_id,jgi,ID,set,T2_vs_T0_CI.L,T2_vs_T0_CI.R,T2_vs_T0_diff,T2_vs_T0_p.adj,T2_vs_T0_p.val,T4_vs_T0_CI.L,T4_vs_T0_CI.R,T4_vs_T0_diff,T4_vs_T0_p.adj,T4_vs_T0_p.val,T6_vs_T0_CI.L,T6_vs_T0_CI.R,T6_vs_T0_diff,T6_vs_T0_p.adj,T6_vs_T0_p.val,T8_vs_T0_CI.L,T8_vs_T0_CI.R,T8_vs_T0_diff,T8_vs_T0_p.adj,T8_vs_T0_p.val,T2_vs_T0_significant,T4_vs_T0_significant,T6_vs_T0_significant,T8_vs_T0_significant,significant,cluster
T0-1,T0,1,107249-jgi-mmetsp,21.82638223972528,107249-jgi-mmetsp,107249,107249-jgi-mmetsp,jgi-mmetsp,-1.1395484205878723,-0.853039774821503,-0.9962940977046877,0.030193898640600476,2.860291205215287e-9,-1.3544161252780718,-1.0679074795117025,-1.2111618023948871,0.11136871127036176,2.8997990365833296e-10,-1.3426547423680055,-1.0561460966016363,-1.199400419484821,0.16322481370402436,3.2537120782509143e-10,-1.4308444547187384,-1.1443358089523692,-1.2875901318355538,0.031138129850144223,1.4062434714470487e-10,TRUE,FALSE,FALSE,TRUE,TRUE,Cluster 1
T0-1,T0,1,109323-jgi-mmetsp,19.224593911464787,109323-jgi-mmetsp,109323,109323-jgi-mmetsp,jgi-mmetsp,0.357981044263656,0.4726896481108693,0.41533534618726264,0.022187264553770018,1.786383136237921e-9,0.2813597007175051,0.39606830456471837,0.33871400264111173,0.42729734838033734,1.8834262717069862e-8,0.27744126647543826,0.39214987032265153,0.3347955683990449,0.49220947177745233,2.150832989758665e-8,0.3059828543637689,0.42069145821098214,0.3633371562873755,0.19246675737246874,8.422967052111515e-9,TRUE,FALSE,FALSE,FALSE,TRUE,Cluster 4
T0-1,T0,1,109737-mmetsp,20.56671862305045,109737-mmetsp,109737,109737-mmetsp,mmetsp,0.060359165753756695,0.13368029556374492,0.0970197306587508,0.6742426948566187,8.517650314604126e-5,0.18556084754632454,0.25888197735631274,0.22222141245131866,0.40042629914038735,1.3979379509493571e-8,0.25055364850283474,0.3238747783128229,0.2872142134078288,0.21210177520877838,7.111193081350689e-10,0.27320497780011016,0.34652610761009833,0.30986554270510425,0.04745226606650301,2.9092961678466873e-10,FALSE,FALSE,FALSE,TRUE,TRUE,Cluster 4
T0-1,T0,1,110565-jgi-mmetsp,19.27649920519238,110565-jgi-mmetsp,110565,110565-jgi-mmetsp,jgi-mmetsp,0.010464853503989666,0.13143334929827005,0.07094910140112987,0.8383163590685441,0.025139454694842644,0.47682399626238564,0.5977924920566661,0.5373082441595258,0.08566291535042397,1.6156002169350586e-10,0.5506783147187267,0.6716468105130072,0.611162562615867,0.06212491190003623,3.497352458782815e-11,0.7916613047092508,0.9126298005035313,0.852145552606391,1.3233571432084894e-4,6.490750158992896e-13,FALSE,FALSE,FALSE,TRUE,TRUE,Cluster 4
T0-1,T0,1,11058-jgi-mmetsp,21.463912221667936,11058-jgi-mmetsp,11058,11058-jgi-mmetsp,jgi-mmetsp,0.3685708765863075,0.45112298248448834,0.4098469295353979,4.887396348786047e-4,4.307123814658347e-11,0.4473269314484297,0.5298790373466106,0.48860298439752015,0.007765513426301842,5.267715279696202e-12,0.49965557769633395,0.5822076835945148,0.5409316306454244,0.007531470435747735,1.5515972902645737e-12,0.3582136912131054,0.4407657971112863,0.39948974416219585,0.01715510238410799,5.841203507563875e-11,TRUE,TRUE,TRUE,TRUE,TRUE,Cluster 4
T0-1,T0,1,111355-jgi-mmetsp,19.913974483845212,111355-jgi-mmetsp,111355,111355-jgi-mmetsp,jgi-mmetsp,0.042191022910802414,0.14050485358633275,0.09134793824856757,0.7790356383837946,0.001582809217537859,0.0783219083122257,0.17663573898775603,0.12747882364999086,0.8291694348207616,1.0242416119688254e-4,0.3849531318604131,0.4832669625359434,0.43411004719817825,0.12789988194631902,1.7326526578652377e-10,0.4632488729387378,0.5615627036142681,0.512405788276503,0.008601963076330394,2.4128356033689993e-11,FALSE,FALSE,FALSE,TRUE,TRUE,Cluster 4
T0-1,T0,1,11390-jgi-mmetsp,20.54008162515247,11390-jgi-mmetsp,11390,11390-jgi-mmetsp,jgi-mmetsp,-0.3423366925203692,-0.2129874442819218,-0.2776620684011455,0.32897191549244204,6.568119054645653e-7,-0.6577285723100378,-0.5283793240715905,-0.5930539481908141,0.07277890972898642,1.1092594556474131e-10,-0.589961434540928,-0.46061218630248063,-0.5252868104217043,0.1855334348210224,4.6544504975469375e-10,-0.6455831014676324,-0.5162338532291851,-0.5809084773484088,0.031290174118900047,1.4176494419396824e-10,FALSE,FALSE,FALSE,TRUE,TRUE,Cluster 3
T0-1,T0,1,114188-jgi-mmetsp,21.273014768938268,114188-jgi-mmetsp,114188,114188-jgi-mmetsp,jgi-mmetsp,5.729088683567238e-4,0.08986609246991137,0.04521950066913405,0.8488972674755281,0.04754891021671882,0.2782794071580562,0.3675725907596109,0.32292599895883356,0.22115699539201142,1.8114253453443082e-9,0.49192696408445624,0.5812201476860109,0.5365735558852336,0.01836304857797714,4.391796694771961e-12,0.42689222251368275,0.5161854061152374,0.4715388143144601,0.007430748762877855,2.0628778567401727e-11,FALSE,FALSE,TRUE,TRUE,TRUE,Cluster 4
T0-1,T0,1,114559-jgi-mmetsp,18.55051000651422,114559-jgi-mmetsp,114559,114559-jgi-mmetsp,jgi-mmetsp,0.33676046472076715,0.45879859288133096,0.39777952880104905,0.04890575851144947,6.0545331489453674e-09,0.4211407591797127,0.5431788873402765,0.4821598232599946,0.15755641494616632,6.430774820534979e-10,0.5608095072989969,0.6828476354595607,0.6218285713792788,0.05879279250237552,3.160368976431964e-11,0.5286450776937657,0.6506832058543295,0.5896641417740476,0.017370821826587404,5.949107676358217e-11,TRUE,FALSE,FALSE,TRUE,TRUE,Cluster 4
T0-1,T0,1,114891-jgi-mmetsp,21.32830524533289,114891-jgi-mmetsp,114891,114891-jgi-mmetsp,jgi-mmetsp,0.21903501180688772,0.3387124468677741,0.2788737293373309,0.25031541675607555,2.68445530135555e-7,0.661055654298984,0.7807330893598703,0.7208943718294272,0.00635146580429172,4.266387358805081e-12,0.8720713837746921,0.9917488188355783,0.9319101013051352,0.0010211201878552682,1.936918274790112e-13,0.7806711500897627,0.900348585150649,0.8405098676202059,1.3915910758964246e-4,6.73126518082861e-13,FALSE,TRUE,TRUE,TRUE,TRUE,Cluster 4
