name_anno,max_exp,max_exp_raw
139747,21.06,2438275.41
139391,21.06,2339746.92
44417,21.05,2284859.14
140684,21.05,2321353.09
81934,21.05,2348906.82
142443,21.05,2318226.38
63536,21.04,2158274.14
81660,21.04,2448919.87
80026,21.04,2394632.7
34306,21.04,2264641.42
138980,21.04,2550234.07
136102,21.04,2284092.19
42764,21.04,2311104.6
12485,21.03,2499107.2
A0A6S8EMD9,21.03,2229935.46
243,21.03,2349299.94
48707,21.02,2387226.32
85731,21.02,2545574.05
136702,21.02,2181486.24
44339,21.02,2236463.51
139455,21.02,2231818.98
A0A6S7ZE18,21.02,2600227.68
142194,21.02,2320597.56
130100,21.01,2395314.88
43520,21.01,2158182.98
141651,21.01,2154595.7
137849,21.01,2436095.7
46070,21,2175179.35
139081,21,2434058.46
45236,21,2154745.18
142428,21,2290498.51
103007,21,2092416.54
142490,21,2249913.57
142440,20.99,2370645.91
42435,20.99,2128920.3
73614,20.99,2491166.69
44962,20.98,2322406.46
44559,20.98,2374849.31
41827,20.97,2305031.24
138707,20.97,2235822.39
60936,20.97,2159905.9
45399,20.97,2305821.36
42915,20.96,2357047.41
141222,20.96,2145867.64
76700,20.96,2096910.71
140610,20.96,2180097.23
58598,20.96,2164264.93
6812,20.95,2070351.66
42525,20.95,2271620.02
81116,20.94,2205591.62
117715,20.94,2474150.4
44976,20.94,2320402.31
44404,20.94,2382526.27
139751,20.94,2223088.99
46847,20.94,2279043.46
140770,20.93,2135087.08
84586,20.93,2983958.37
35030,20.93,2215080.06
30894,20.92,2161400.41
138074,20.91,2406015.74
814,20.91,2207805.23
45831,20.91,2232166.01
83784,20.91,2223516.08
60944,20.91,2144823.7
47826,20.91,2078481.07
43000,20.9,2044746.1
46910,20.9,2090666.54
119810,20.9,2298707.58
109737,20.9,2069900
123824,20.9,2378411.36
73873,20.89,2344600
142578,20.89,2072509.36
101509,20.89,2200210.7
47988,20.89,2119053.06
9614,20.89,2346082.12
76233,20.89,2060368.6
47295,20.89,2208100
A0A6S8C6T5,20.87,2180620.08
138203,20.87,2105168.39
29301,20.86,2051697.89
8126,20.86,2020656.79
45760,20.86,2097144.18
45449,20.86,2028007.74
136608,20.85,2069486.84
43746,20.85,1955855.23
115200,20.85,1962262.33
69397,20.85,2174793.85
78224,20.84,2316881.34
70178,20.84,1970836.03
116936,20.83,2073645.5
139292,20.83,2117627.36
47773,20.83,2096093.59
45223,20.82,2177535.2
69326,20.82,2164281.61
137616,20.82,1926540.73
139114,20.82,2223128.82
75220,20.82,1903429.66
139328,20.81,2133080.53
137613,20.81,2080393.17
47705,20.81,1883889.36
46457,20.81,1996388.04
141086,20.8,1906467.53
141352,20.8,2009853.88
76018,20.8,1904222.47
42182,20.8,2009836.88
140906,20.8,2020976.71
45948,20.79,1826637.56
