Protein_id,name_ID,name,ID,RAW.T0-1,RAW.T0-2,RAW.T0-3,RAW.T2-1,RAW.T2-2,RAW.T2-3,RAW.T4-1,RAW.T4-2,RAW.T4-3,RAW.T6-1,RAW.T6-2,RAW.T6-3,RAW.T8-1,RAW.T8-2,RAW.T8-3,set,BATCH_CORRECT.T0-1,BATCH_CORRECT.T0-2,BATCH_CORRECT.T0-3,BATCH_CORRECT.T2-1,BATCH_CORRECT.T2-2,BATCH_CORRECT.T2-3,BATCH_CORRECT.T4-1,BATCH_CORRECT.T4-2,BATCH_CORRECT.T4-3,BATCH_CORRECT.T6-1,BATCH_CORRECT.T6-2,BATCH_CORRECT.T6-3,BATCH_CORRECT.T8-1,BATCH_CORRECT.T8-2,BATCH_CORRECT.T8-3
A0A6S7ZN11-mmetsp,A0A6S7ZN11,A0A6S7ZN11,A0A6S7ZN11,1839455.241,1365321.703,1913664.316,1714577.064,1324294.148,1781231.72,1601290.639,1233037.328,1710169.96,1559711.218,1228843.862,1636165.995,1545037.977,1236800,1658430.925,mmetsp,1729417.6967295136,1643699.8470414237,1708250.0922637947,1616116.2687083033,1600712.2028584538,1594841.9460289439,1513331.9869685264,1505095.5933035011,1533988.4800908007,1475607.158749781,1500701.784696057,1470615.4681725055,1462294.1908723,1509038.0267512954,1489681.955680979
A0A6S7ZN30-mmetsp,A0A6S7ZN30,A0A6S7ZN30,A0A6S7ZN30,385742.8533,452523.531,427313.1878,331457.4135,359121.1689,371251.7411,402833.5852,422055.4356,449929.9796,404411.296,425416.8542,455558.0359,434409.8043,459940,488431.8449,mmetsp,411743.25432964566,445029.12054550677,408557.35683955776,356863.4283152348,357364.5414245887,360386.11593426665,429021.11735491565,416432.7049966437,427991.013843322,430616.10294449644,419587.628921402,432826.96567500813,460943.073164527,451989.9898300785,461074.0457278589
A0A6S7ZN41-mmetsp,A0A6S7ZN41,A0A6S7ZN41,A0A6S7ZN41,31267.90547,26629.64381,23769.36697,20125.07948,17066.74329,14069.35753,17316.61398,12648.1015,10016.56066,12283.68159,11453.25171,8932.026446,15539.21383,11379,9037.857567,mmetsp,27604.54989514235,26270.815599918595,25451.291981771858,16997.155893395735,17250.576322763514,16810.634728898793,14323.64199974367,13082.677039227225,13200.449719719383,9532.550682981373,11955.630806390485,12234.359069998523,12631.648989466614,11885.592621894353,12328.632219824276
A0A6S7ZN53-mmetsp,A0A6S7ZN53,A0A6S7ZN53,A0A6S7ZN53,127349.4163,82238.12859,126912.1302,131953.0904,90018.96313,121984.7695,110798.6983,70071.66408,113294.2661,103774.5218,74206.25302,95320.59374,110845.7922,77684,107767.566,mmetsp,113145.02551694268,106001.03274877006,114785.51839499157,117495.50433287506,113955.68390925793,110622.20346550873,97504.57259099148,93562.78071603813,103279.26578490798,90866.71543628539,97789.73253471943,88092.6246944717,97549.07639596534,101345.16915377651,98609.54614430928
A0A6S7ZN73-mmetsp,A0A6S7ZN73,A0A6S7ZN73,A0A6S7ZN73,87580.65122,34085.79134,107414.7608,66875.54864,18828.1447,58432.35856,74072.3015,17691.06821,55387.1482,66758.88529,15932.79637,60286.64847,72382.89269,16995,62888.09228,mmetsp,70875.54275240183,68105.34146761606,83527.54107962597,47154.46031770196,51810.82603060465,46747.3959848317,55399.51813350449,50596.47686808087,44460.79357737552,47020.803363732986,48718.717583485035,48139.754236341025,53464.02394828716,49853.10572699525,50093.13905236009
A0A6S7ZNE2-mmetsp,A0A6S7ZNE2,A0A6S7ZNE2,A0A6S7ZNE2,1359156.672,1466219.769,1678057.868,1095925.272,1136803.203,1352523.211,1069939.335,1063808.307,1339306.494,1023153.75,1067194.783,1356458.711,949175.0772,953680,1287131.51,mmetsp,1477438.088872483,1503270.9178443176,1462331.0394196648,1208766.561553071,1210899.2616936564,1170825.5747655593,1182243.5806981423,1146113.0886932819,1158990.4440123786,1134491.0915251859,1149118.7347318435,1174349.6842005379,1058983.522860357,1048369.3841260427,1112269.4801236074
A0A6S7ZNF1-mmetsp,A0A6S7ZNF1,A0A6S7ZNF1,A0A6S7ZNF1,572609.1856,785792.6116,968742.9318,465466.187,625723.1576,671767.1775,381211.1178,555123.4989,534064.265,370366.4824,524717.0542,509079.4165,377331.1088,531520,529394.1695,mmetsp,716874.1243956813,741450.8322091425,815587.1708907974,595363.7403321535,581875.641707866,583754.4125521288,499810.452188591,511493.9810921084,476257.2664925412,487511.60084318044,481181.4256093551,456752.95928712044,495410.1517497349,487963.3652291707,472611.57789408305
A0A6S7ZNH5-mmetsp,A0A6S7ZNH5,A0A6S7ZNH5,A0A6S7ZNH5,67418.35596,185119.7915,28571.11033,65581.44178,206473.136,23704.21273,69242.3335,172512.8587,22177.58887,65568.22149,161918.4938,19798.41117,65174.96443,176250,22324.52658,mmetsp,90869.15330929475,95593.1058811277,94206.04399143452,88543.5302694045,111091.2311231243,89327.89346371421,93178.39793130878,86443.07210296081,87797.73984217728,88526.79273677897,78753.74764703716,85413.06116046525,88028.91009789842,89155.46612228821,87945.01729210318
A0A6S7ZNI6-mmetsp,A0A6S7ZNI6,A0A6S7ZNI6,A0A6S7ZNI6,37517.12715,46546.75023,141658.8025,39474.84007,38856.23145,116474.0015,28376.74728,33956.23419,113670.0002,30381.77142,42442.20906,113243.75,31127.90485,47415,117447.6163,mmetsp,69517.89387252057,69667.19272433623,82505.00580628167,71763.3989431307,61772.55904409029,63331.35143275044,59033.83916985874,56742.51042077638,61196.61342989179,61333.6104116329,65453.712478126094,60872.10127625403,62189.42863875924,70558.48680646416,64072.58237073381
A0A6S7ZNJ0-mmetsp,A0A6S7ZNJ0,A0A6S7ZNJ0,A0A6S7ZNJ0,339189.7483,511391.8728,517211.1707,387264.3403,600153.4466,517518.4072,469329.2513,657833.0188,521562.9887,458224.6307,662305.2893,511633.2656,451277.0311,614480,522565.1256,mmetsp,439238.3496512091,434899.27709485043,514993.8841668481,483481.0377339181,510225.8707164419,515308.38967331685,559004.7626135444,559175.0444339615,519448.6632186533,548785.2631847686,562970.3906417518,509284.0096287957,542391.4391451105,522383.95241507696,520474.5099956006
A0A6S7ZNL5-mmetsp,A0A6S7ZNL5,A0A6S7ZNL5,A0A6S7ZNL5,87286.3907,122309.0748,299777.1599,77989.97966,125963.5109,276760.8861,91972.23965,156587.7006,350290.8646,85173.31816,128210.5161,327573.7121,86365.82372,135880,283918.6943,mmetsp,176404.24600211496,163247.72562599884,172727.9890645573,164782.57826031937,166992.39539761835,155684.13319515606,182262.13883310385,198372.74364065722,210134.05704139432,173762.6430363545,169294.8826265268,193311.7044600131,175253.42300928524,177153.737929607,160984.5850563786
