name_anno,max_exp,max_exp_raw
A0A6S8DRH6,22.08,5048012.79
114891,22.08,4833706.69
68789,22.07,4884394.47
44584,22.07,4502990.37
45185,22.04,4510664.59
11058,22.04,4607402
41896,22.03,4540266.69
A0A6S8AS53,22.03,4456630.15
136502,22.03,4693727.84
42143,22.03,4592706.2
115514,22.03,4525400
82725,22.03,4443739.53
A0A6S8EZC4,22.02,4531312.08
73845,22,4382769.9
83486,22,5069338.74
136048,21.99,4287907.21
34480,21.99,4371872.74
69658,21.97,4066277.85
37656,21.97,4524151.19
47450,21.96,4622790
46880,21.94,4329643.88
137186,21.94,4031800
140047,21.93,4621551.44
45860,21.92,4142464.86
104882,21.91,4659178.48
46720,21.91,4957604.34
140607,21.91,4226645.76
48616,21.91,3975126.94
45900,21.91,4140732.16
72990,21.9,4132953.57
39605,21.9,4280737.55
5476,21.9,4091860.46
42652,21.89,4130303.68
80369,21.88,4476946.75
6170,21.88,4124774.6
115161,21.88,4281524
114188,21.87,4393691.32
140885,21.87,4025580.16
2136,21.86,4469262.62
140542,21.86,4474253.8
120126,21.85,4089009.35
8441,21.85,3875840.58
82186,21.84,4177095.55
102883,21.84,4002906.65
44178,21.83,4236999.74
137176,21.83,3880104.86
140959,21.82,3725160.79
72735,21.81,3867281.08
61706,21.8,3874734.32
141478,21.77,4298000
A0A6S8BDF3,21.77,3570402.66
140998,21.76,3925104.94
46627,21.75,3797938.46
47601,21.75,3733727.39
47873,21.73,3693133.92
138216,21.73,3599334.91
66605,21.73,3953681.5
140639,21.73,3695650.25
75346,21.72,3601854.41
46343,21.72,3795526.14
74137,21.71,4203289.11
140804,21.7,3481324.03
69685,21.7,3545503.13
42278,21.69,3424559.22
46997,21.68,3436021.56
45810,21.67,3546111.8
142511,21.67,3702140.49
85053,21.66,3479801.83
48454,21.66,3334693.22
115215,21.65,3799397.8
34765,21.64,3512927.5
142565,21.64,3756562.34
44270,21.63,3824152.43
83142,21.63,3236091.65
76810,21.63,3521278.46
43167,21.61,3547835.4
44258,21.61,3424500.85
116011,21.61,3659443.44
43893,21.61,3473568.92
82949,21.61,3206037.39
136607,21.6,3625889.09
42084,21.59,3520918.26
116973,21.58,3384333.05
138951,21.58,3822115.59
48045,21.58,3608778.39
139036,21.58,3305051.5
138285,21.58,3428374.43
137857,21.57,3434613.41
137433,21.57,3268730.89
46884,21.56,3330932.96
136651,21.56,3641475.31
42438,21.56,3309668.01
40066,21.55,3220282.11
7713,21.55,3130332.57
149581,21.54,3357946.74
42941,21.54,3390589.42
46169,21.53,3330877.12
119116,21.53,3112023.03
82080,21.52,3292519.56
9990,21.52,3230621
142887,21.51,3390442.3
98848,21.51,3148301.09
140215,21.51,3178361.62
142921,21.51,3196451.93
46582,21.51,3453776.89
45357,21.5,3308245.77
47525,21.49,3557464.53
141707,21.48,3093591.76
79344,21.48,3595795.92
43700,21.47,3110728.14
138220,21.47,3141436.12
116188,21.46,3245156.72
137280,21.45,3087159.12
140942,21.44,2967235.95
139962,21.44,3144609.66
46782,21.44,3791915.14
105921,21.43,3176922.5
79063,21.42,3075393.41
47403,21.41,2888420.7
71528,21.41,3309014.1
137670,21.41,3032956.75
83237,21.39,3088520.35
43908,21.38,3026846.53
138926,21.38,2986137.31
47930,21.38,2912389.37
39355,21.37,3306786.59
46158,21.36,3138627.6
43822,21.36,2838700.75
70359,21.35,3438505.8
114690,21.35,2806571.79
137494,21.34,2816217.09
104908,21.33,2854828.34
68400,21.33,2953758.46
41994,21.33,2872874.36
47886,21.33,2821890.74
44896,21.32,2691602.5
139589,21.32,2661800
138959,21.3,2738757.25
79105,21.29,2767842.62
137187,21.28,2820269.17
46560,21.27,3181858.56
74103,21.26,2687963.47
138946,21.26,2607400
142380,21.26,2692078.77
140756,21.26,2761597.97
A0A6S8GJ71,21.25,2893167.25
54189,21.25,2773735.62
138458,21.24,2667786.45
48468,21.24,2773041.74
142917,21.24,2626213.43
73779,21.21,2513383.24
84347,21.21,2686349.6
45412,21.2,2552005.12
44342,21.2,2660851.22
43961,21.2,2949334.45
136299,21.19,2607214.35
75654,21.19,2644541.18
73186,21.17,2501338.05
137990,21.17,2795180.6
48380,21.17,2760517.63
45216,21.16,2470239.82
85346,21.15,2449925.45
36775,21.15,2978642.14
52765,21.14,2544120.4
A0A6S8EM18,21.13,2537152.03
42238,21.12,2603793.8
139080,21.11,2390243.68
68334,21.11,2817000
140071,21.11,2614155.74
41946,21.11,2617828.82
80810,21.1,2453594.22
141761,21.09,2400729.84
43100,21.09,2723293.21
46923,21.09,2661600.53
139799,21.08,2376552.32
139427,21.07,2484387.81
44810,21.07,2244013.24
139747,21.06,2438275.41
139391,21.06,2339746.92
44417,21.05,2284859.14
140684,21.05,2321353.09
81934,21.05,2348906.82
63536,21.04,2158274.14
34306,21.04,2264641.42
136102,21.04,2284092.19
A0A6S8EMD9,21.03,2229935.46
243,21.03,2349299.94
48707,21.02,2387226.32
44339,21.02,2236463.51
46070,21,2175179.35
142428,21,2290498.51
142490,21,2249913.57
73614,20.99,2491166.69
44962,20.98,2322406.46
44559,20.98,2374849.31
138707,20.97,2235822.39
60936,20.97,2159905.9
42915,20.96,2357047.41
141222,20.96,2145867.64
140610,20.96,2180097.23
58598,20.96,2164264.93
6812,20.95,2070351.66
81116,20.94,2205591.62
44404,20.94,2382526.27
139751,20.94,2223088.99
46847,20.94,2279043.46
140770,20.93,2135087.08
84586,20.93,2983958.37
35030,20.93,2215080.06
30894,20.92,2161400.41
45831,20.91,2232166.01
60944,20.91,2144823.7
46910,20.9,2090666.54
119810,20.9,2298707.58
109737,20.9,2069900
123824,20.9,2378411.36
101509,20.89,2200210.7
A0A6S8C6T5,20.87,2180620.08
45449,20.86,2028007.74
136608,20.85,2069486.84
43746,20.85,1955855.23
115200,20.85,1962262.33
78224,20.84,2316881.34
116936,20.83,2073645.5
47773,20.83,2096093.59
45223,20.82,2177535.2
69326,20.82,2164281.61
137616,20.82,1926540.73
75220,20.82,1903429.66
47705,20.81,1883889.36
141352,20.8,2009853.88
76018,20.8,1904222.47
141237,20.79,1917466.34
71350,20.78,2000110.86
137525,20.78,1956832.5
77767,20.77,1944841.25
139555,20.77,2029680.6
136865,20.77,1961988.03
44883,20.77,1928659.77
141656,20.77,1926728.67
141950,20.76,2240164.16
45395,20.76,1924317.99
A0A6S8DAI1,20.75,1870569.98
49344,20.74,2253200
141448,20.74,1990928.96
76467,20.73,1895855.18
138805,20.73,2123059.5
48674,20.72,1916664.19
142806,20.72,1938733.66
52554,20.72,2244100
42973,20.71,2072467.28
142114,20.7,1812334.86
48265,20.68,2120711.83
44120,20.68,2101755.22
137840,20.67,1864848.27
45608,20.65,1712659.86
139073,20.65,1805951.29
70957,20.63,3525236.47
80982,20.62,1974552.05
103997,20.62,1739226.83
11390,20.62,1687584.59
47005,20.61,1570482.97
141672,20.61,1971282.84
118266,20.6,1783654.73
43039,20.59,1675467.55
141703,20.58,1609858.23
74907,20.57,1830304.04
43290,20.57,1805187.63
140971,20.57,1583031.65
41722,20.57,1723600
A0A6S8EZV0,20.56,1724112.86
139992,20.56,1755366.37
42009,20.56,1730536.8
139481,20.56,1798215.05
A0A6S8EN07,20.55,1842313.11
70776,20.55,1735910.2
A0A6S8D267,20.53,1580960.01
42421,20.53,1702094.06
43122,20.53,1776118.98
139165,20.53,1680827.02
67186,20.53,1654168.93
63111,20.52,1654942.99
45927,20.51,1791937.17
43547,20.5,1799362.09
46635,20.5,1546594.58
141881,20.5,1773086.58
43066,20.5,1834962.08
46809,20.5,1813874.22
73221,20.49,2002956.76
137243,20.49,1639448.09
137462,20.49,1514391.33
141319,20.48,1780804.87
136361,20.48,1705051.74
136325,20.48,1624120.58
111355,20.45,1570563.71
136475,20.45,1728506.21
45959,20.45,1651979.12
141652,20.44,1533086.74
48319,20.43,1466100
140561,20.43,1515093.76
45175,20.42,1550688.36
139855,20.41,1467069.01
A0A6S8DA03,20.4,1490112.51
149380,20.4,1386451.71
143491,20.39,1698371.23
32169,20.38,1564847.47
