"name","mmetspset_name","mmetsp_significant","jgiset_name","jgi_significant","both_significant"
"129280","A0A6S8BMA0",FALSE,NA,NA,NA
"129308","A0A6S7ZF54",FALSE,"129308",FALSE,FALSE
"129340","A0A6S8B679",FALSE,NA,NA,NA
"129410","A0A6S8A2B6",FALSE,"129410",FALSE,FALSE
"129427","A0A6S8B3Z0",FALSE,"129427",FALSE,FALSE
"129437","A0A6S8FWK7",FALSE,"129437",FALSE,FALSE
"129482","A0A6S8AK33",FALSE,NA,NA,NA
"129547","A0A6S8FM55",FALSE,"129547",FALSE,FALSE
"129690","A0A6S8G599",FALSE,"129690",FALSE,FALSE
"129693","A0A6S8AQT6",FALSE,"129693",FALSE,FALSE
"129955","A0A6S7ZY12",FALSE,NA,NA,NA
"130100","A0A6S8AIC5",FALSE,"130100",FALSE,FALSE
"130541","A0A6S8G0P4",FALSE,NA,NA,NA
"13057","A0A6S8DPF0",FALSE,"13057",FALSE,FALSE
"130886","A0A6S8DMK9",FALSE,"130886",FALSE,FALSE
"131027","A0A6S8DPG7",FALSE,NA,NA,NA
"131064","A0A6S8AEM3",FALSE,NA,NA,NA
"131499","A0A6S8APT9",FALSE,"131499",FALSE,FALSE
"131544","A0A6S8BDV9",FALSE,"131544",FALSE,FALSE
"131704","A0A6S8B2G1",FALSE,"131704",FALSE,FALSE
"131908","A0A6S8EAB1",FALSE,"131908",FALSE,FALSE
"132136","A0A6S7ZSJ0",FALSE,"132136",FALSE,FALSE
"132147","A0A6S8F5F2",FALSE,NA,NA,NA
"132348","A0A6S8BNE9",FALSE,"132348",FALSE,FALSE
"132440","A0A6S8E167",FALSE,"132440",FALSE,FALSE
"132537","A0A6S8EJ32",FALSE,"132537",FALSE,FALSE
"132553","A0A6S8DVS1",FALSE,"132553",FALSE,FALSE
"132853","A0A6S8CTP6",FALSE,"132853",FALSE,FALSE
"133302","A0A6S7ZTK4",FALSE,"133302",FALSE,FALSE
"133454","A0A6S7ZUV8",FALSE,NA,NA,NA
"133460","A0A6S8EJE3",FALSE,"133460",FALSE,FALSE
"13367","A0A6S8FS17",FALSE,"13367",FALSE,FALSE
"1337","A0A6S8D4M6",FALSE,"1337",FALSE,FALSE
"133744","A0A6S8G547",FALSE,"133744",FALSE,FALSE
"133798","A0A6S8A8D0",FALSE,"133798",FALSE,FALSE
"133929","A0A6S8EGH8",FALSE,"133929",TRUE,FALSE
"13396","A0A6S8B5I5",FALSE,"13396",FALSE,FALSE
"133990","A0A6S8DCL3",FALSE,"133990",FALSE,FALSE
"13412","A0A6S8DFE0",FALSE,NA,NA,NA
"13432","A0A6S8FV04",FALSE,"13432",FALSE,FALSE
"134884","A0A6S8EN27",FALSE,"134884",FALSE,FALSE
"135071","A0A6S8AYM2",FALSE,"135071",FALSE,FALSE
"13509","A0A6S8G2A3",FALSE,NA,NA,NA
"135420","A0A6S7ZK78",FALSE,NA,NA,NA
"135782","A0A6S8E817",FALSE,NA,NA,NA
"136037","A0A6S8BBL6",FALSE,"136037",FALSE,FALSE
"136038","A0A6S8EHZ7",FALSE,"136038",FALSE,FALSE
"136048","A0A6S8B1Y7",TRUE,"136048",TRUE,TRUE
"136054","A0A6S8A7D0",FALSE,NA,NA,NA
"136055","A0A6S8B8R9",FALSE,"136055",FALSE,FALSE
"136083","A0A6S7ZUR5",FALSE,"136083",FALSE,FALSE
"136084","A0A6S8AD50",FALSE,"136084",FALSE,FALSE
"136085","A0A6S8AJT6",FALSE,"136085",FALSE,FALSE
"136093","A0A6S8B0Q8",FALSE,"136093",FALSE,FALSE
"136096","A0A6S8A8C6",FALSE,"136096",FALSE,FALSE
"136098","A0A6S8DI84",TRUE,"136098",TRUE,TRUE
"136102","A0A6S8F965",TRUE,"136102",FALSE,FALSE
"136108","A0A6S8C988",FALSE,NA,NA,NA
"136109","A0A6S8BRJ6",FALSE,"136109",FALSE,FALSE
"136136","A0A6S8AF43",FALSE,NA,NA,NA
"136137","A0A6S8G1G2",FALSE,"136137",FALSE,FALSE
"136161","A0A6S8BBK5",TRUE,"136161",TRUE,TRUE
"136162","A0A6S8C6X5",FALSE,"136162",FALSE,FALSE
"136164","A0A6S8CCW2",FALSE,NA,NA,NA
"136181","A0A6S8E3N8",FALSE,"136181",FALSE,FALSE
"136192","A0A6S8BND1",FALSE,"136192",FALSE,FALSE
"136196","A0A6S8CER4",FALSE,"136196",FALSE,FALSE
"136197","A0A6S8C9S4",FALSE,"136197",FALSE,FALSE
"136201","A0A6S8A376",FALSE,"136201",FALSE,FALSE
"136216","A0A6S8FM24",FALSE,"136216",FALSE,FALSE
"136217","A0A6S8CU64",FALSE,"136217",FALSE,FALSE
"136219","A0A6S8FAW8",FALSE,"136219",FALSE,FALSE
"136220","A0A6S8FAD6",FALSE,NA,NA,NA
"136226","A0A6S8DVQ6",TRUE,"136226",FALSE,FALSE
"136227","A0A6S8CXY0",FALSE,"136227",FALSE,FALSE
"136238","A0A6S8D9M7",FALSE,"136238",FALSE,FALSE
