"cluster","Aplke1.FilteredModels1","Aurli1.FilteredModels1","Honfer1.CEA_gene_models","LabyHa_1.DU_gene_models","Schag1.FilteredModels1","TOTAL"
648,1,3,2,1,3,10
649,3,2,2,1,2,10
650,2,2,2,1,3,10
651,3,3,2,0,2,10
652,4,3,2,0,1,10
653,2,2,2,2,2,10
654,2,2,2,2,2,10
655,2,2,2,2,2,10
656,2,2,2,2,2,10
657,2,2,2,2,2,10
658,2,2,2,2,2,10
659,3,2,2,1,2,10
660,2,2,2,2,2,10
661,2,4,2,1,1,10
662,1,3,4,1,1,10
663,2,2,2,2,2,10
664,2,3,4,0,1,10
665,2,2,2,2,2,10
666,2,2,2,1,3,10
667,2,2,2,2,2,10
668,3,2,2,1,2,10
669,2,2,2,2,2,10
670,2,2,2,2,2,10
671,2,2,1,2,3,10
672,2,2,2,2,2,10
673,3,2,2,1,2,10
674,1,1,1,7,0,10
675,3,2,2,0,3,10
676,2,2,2,2,2,10
677,2,2,2,2,2,10
678,3,2,2,1,2,10
679,2,2,2,2,2,10
680,10,0,0,0,0,10
681,1,2,2,2,3,10
682,4,1,1,2,2,10
683,3,2,2,1,2,10
684,2,2,2,2,2,10
685,2,2,1,4,1,10
686,2,2,2,2,2,10
687,2,2,2,2,2,10
688,2,2,2,2,2,10
689,3,3,3,0,1,10
690,2,2,2,2,2,10
691,1,2,3,1,3,10
692,3,1,1,5,0,10
693,2,2,2,2,2,10
694,2,2,2,2,2,10
695,2,2,2,1,3,10
696,3,2,2,1,2,10
697,4,1,1,1,3,10
698,3,2,2,1,2,10
699,3,2,2,1,2,10
700,3,2,2,1,2,10
701,2,2,2,2,2,10
702,3,2,2,1,2,10
703,3,2,1,2,2,10
704,2,2,2,2,2,10
705,1,3,1,1,4,10
706,2,2,2,2,2,10
707,2,2,2,2,2,10
708,2,3,2,0,3,10
709,5,0,5,0,0,10
710,2,2,2,2,2,10
711,2,0,0,7,1,10
712,2,2,2,2,2,10
713,2,2,2,2,2,10
714,2,3,2,1,2,10
715,2,2,2,2,2,10
716,2,2,2,2,2,10
717,2,2,2,2,2,10
718,2,2,2,2,2,10
719,0,2,5,1,2,10
720,1,4,2,2,1,10
721,1,3,4,1,1,10
722,0,3,6,0,1,10
723,1,6,3,0,0,10
724,0,3,4,0,3,10
725,0,4,3,0,3,10
726,0,6,4,0,0,10
727,0,4,4,0,2,10
728,1,1,4,4,0,10
729,1,2,2,3,2,10
730,2,3,1,2,2,10
731,0,2,3,2,3,10
732,1,3,5,0,1,10
733,1,3,2,0,4,10
734,1,2,2,3,2,10
735,0,1,9,0,0,10
736,0,2,2,2,4,10
737,0,0,10,0,0,10
738,0,0,0,10,0,10
739,0,0,0,10,0,10
740,0,8,1,1,0,10
741,0,4,3,0,3,10
742,0,10,0,0,0,10
743,0,2,3,0,5,10
744,0,5,5,0,0,10
745,0,3,2,0,5,10
746,0,0,0,10,0,10
747,0,0,0,10,0,10
748,0,0,0,10,0,10
749,0,0,0,10,0,10
750,2,2,2,1,2,9
751,2,2,2,1,2,9
752,2,2,2,1,2,9
753,3,2,1,3,0,9
754,5,0,0,3,1,9
755,2,2,2,1,2,9
756,4,1,1,2,1,9
757,1,1,1,1,5,9
758,7,0,1,1,0,9
759,5,1,1,0,2,9
760,2,2,2,1,2,9
761,2,2,2,1,2,9
762,2,3,3,1,0,9
763,3,2,2,0,2,9
764,3,2,2,1,1,9
765,2,2,2,1,2,9
766,2,2,1,2,2,9
767,2,3,0,2,2,9
768,2,2,1,2,2,9
769,4,0,0,4,1,9
770,8,0,0,1,0,9
771,7,0,0,1,1,9
772,7,1,1,0,0,9
773,2,1,2,2,2,9
774,2,2,1,2,2,9
775,2,1,1,4,1,9
776,2,2,2,1,2,9
777,2,2,2,1,2,9
778,2,2,2,1,2,9
779,1,3,3,0,2,9
780,2,2,2,1,2,9
781,2,2,1,2,2,9
782,4,2,1,1,1,9
783,3,2,2,1,1,9
784,3,0,0,6,0,9
785,1,2,2,1,3,9
786,3,2,1,2,1,9
787,1,2,2,1,3,9
788,2,1,1,4,1,9
789,1,3,2,1,2,9
790,2,2,2,1,2,9
791,4,1,1,2,1,9
792,2,2,2,1,2,9
793,2,2,2,1,2,9
794,2,4,0,0,3,9
795,5,1,1,1,1,9
796,2,2,2,1,2,9
797,2,1,3,3,0,9
798,3,2,2,0,2,9
799,2,2,2,1,2,9
800,6,0,1,1,1,9
801,5,1,1,2,0,9
802,2,2,1,1,3,9
803,2,3,2,1,1,9
804,1,2,2,2,2,9
805,2,2,2,1,2,9
806,2,1,1,3,2,9
807,2,2,2,1,2,9
808,2,2,2,1,2,9
809,2,2,2,1,2,9
810,2,2,2,2,1,9
811,6,1,1,0,1,9
812,7,0,0,2,0,9
813,2,2,2,1,2,9
814,2,2,2,1,2,9
815,3,2,2,1,1,9
816,2,2,2,1,2,9
817,2,2,2,1,2,9
818,2,2,2,1,2,9
819,1,2,4,0,2,9
820,2,2,2,1,2,9
821,2,2,2,1,2,9
822,2,2,2,1,2,9
823,2,2,2,1,2,9
824,3,2,2,0,2,9
825,2,2,2,1,2,9
826,4,1,1,2,1,9
827,2,0,3,2,2,9
828,2,2,2,1,2,9
829,2,3,3,0,1,9
830,2,2,2,2,1,9
831,1,2,2,2,2,9
832,2,2,3,1,1,9
833,1,0,1,7,0,9
834,1,4,2,1,1,9
835,3,2,2,1,1,9
836,2,1,2,2,2,9
837,2,2,2,1,2,9
838,3,1,1,2,2,9
839,3,1,1,2,2,9
840,2,2,2,1,2,9
841,2,2,2,1,2,9
842,5,0,1,2,1,9
843,2,2,2,1,2,9
844,1,2,2,2,2,9
845,2,2,2,1,2,9
846,2,2,2,1,2,9
847,2,2,2,1,2,9
848,3,3,2,0,1,9
849,3,3,1,2,0,9
850,3,3,2,0,1,9
851,2,2,2,2,1,9
852,2,2,2,1,2,9
853,3,2,2,0,2,9
854,2,0,0,7,0,9
855,2,2,2,1,2,9
856,1,3,2,1,2,9
857,2,2,2,1,2,9
858,2,2,2,1,2,9
859,2,2,2,1,2,9
860,2,2,1,2,2,9
861,2,2,1,0,4,9
862,1,3,2,1,2,9
863,2,2,1,2,2,9
864,1,3,1,1,3,9
865,1,2,2,2,2,9
866,1,3,2,2,1,9
867,1,2,2,1,3,9
868,1,3,3,1,1,9
869,0,5,4,0,0,9
870,0,3,1,1,4,9
871,2,3,2,0,2,9
872,2,3,2,1,1,9
873,1,4,4,0,0,9
874,1,2,2,2,2,9
875,1,1,1,5,1,9
876,0,1,8,0,0,9
877,1,3,2,1,2,9
878,1,1,1,5,1,9
879,1,2,2,1,3,9
880,1,1,1,5,1,9
881,0,5,2,0,2,9
882,0,2,2,1,4,9
883,0,0,9,0,0,9
884,0,7,2,0,0,9
885,0,3,3,0,3,9
886,0,0,0,9,0,9
887,0,2,2,2,3,9
888,0,3,2,1,3,9
889,0,4,3,0,2,9
890,0,9,0,0,0,9
891,0,3,3,0,3,9
892,0,3,3,0,3,9
893,0,9,0,0,0,9
894,0,9,0,0,0,9
895,0,4,2,0,3,9
896,0,4,3,0,2,9
897,0,2,2,3,2,9
898,0,4,3,1,1,9
899,0,9,0,0,0,9
900,0,3,2,1,3,9
901,0,1,8,0,0,9
902,0,0,0,9,0,9
903,0,0,0,0,9,9
904,0,0,0,9,0,9
905,0,0,0,0,9,9
906,3,0,0,2,3,8
907,3,1,1,2,1,8
908,2,2,1,1,2,8
909,3,1,2,1,1,8
910,1,4,2,0,1,8
911,1,1,1,4,1,8
912,2,2,1,0,3,8
913,4,0,0,3,1,8
914,2,1,1,1,3,8
915,2,1,3,1,1,8
916,4,1,1,1,1,8
917,2,2,1,1,2,8
918,2,2,1,1,2,8
919,2,2,1,1,2,8
920,1,2,2,3,0,8
921,2,2,2,0,2,8
922,1,1,4,2,0,8
923,2,1,2,0,3,8
924,1,3,2,1,1,8
925,3,1,3,0,1,8
926,3,1,1,1,2,8
927,4,1,1,0,2,8
928,3,1,1,2,1,8
929,1,2,2,1,2,8
930,2,2,1,1,2,8
931,3,2,2,0,1,8
932,3,1,1,1,2,8
933,3,1,1,2,1,8
934,3,1,1,2,1,8
935,1,2,3,0,2,8
936,1,2,2,1,2,8
937,3,1,1,2,1,8
938,6,0,0,2,0,8
939,1,2,2,2,1,8
940,4,1,1,0,2,8
941,4,1,1,0,2,8
942,2,1,1,2,2,8
943,1,3,1,2,1,8
944,1,2,2,1,2,8
945,2,2,1,1,2,8
946,2,2,2,0,2,8
947,1,2,3,1,1,8
948,5,1,1,0,1,8
949,2,1,2,2,1,8
950,2,2,2,1,1,8
951,3,1,1,2,1,8
952,2,1,2,1,2,8
953,3,2,2,0,1,8
954,3,1,1,2,1,8
955,2,3,1,1,1,8
956,8,0,0,0,0,8
957,2,2,2,0,2,8
958,2,2,1,2,1,8
959,3,1,1,2,1,8
960,3,1,1,1,2,8
961,1,2,2,0,3,8
962,3,1,2,0,2,8
963,7,0,0,1,0,8
964,3,2,0,1,2,8
965,2,2,2,0,2,8
966,2,2,2,0,2,8
967,2,2,2,0,2,8
968,2,2,2,0,2,8
969,3,1,1,2,1,8
970,2,2,2,1,1,8
971,1,2,1,1,3,8
972,2,0,0,6,0,8
973,5,0,0,2,1,8
974,2,1,1,2,2,8
975,7,0,0,1,0,8
