MMETSP_ID,JGI_ID
A0A6S8A2P3,137990
A0A6S8AAC8,137992
A0A6S8AFK0,138013
A0A6S8BTM4,138031
A0A6S8EUE9,138036
A0A6S8FFZ4,138060
A0A6S8CMY8,138074
A0A6S8ERL9,138082
A0A6S8DMD0,138090
A0A6S8DEL0,138099
A0A6S7ZGE1,138105
A0A6S8FDV5,138111
A0A6S7ZLR6,138117
A0A6S7ZV12,138128
A0A6S8ELQ4,138132
A0A6S8BVZ2,138137
A0A6S8BS73,138155
A0A6S8EUS0,138177
A0A6S8CK96,138182
A0A6S7ZMQ1,138197
A0A6S8A5J0,138203
A0A6S7ZD93,138211
A0A6S8FYC9,138212
A0A6S7ZVY4,138216
A0A6S8G5Q4,138217
A0A6S8C3J1,138220
A0A6S8ANK8,138229
A0A6S8DEW9,138233
A0A6S8E4B7,138233
A0A6S8DEP0,138237
A0A6S8DHR7,138238
A0A6S8DHS0,138238
A0A6S8BX06,138242
A0A6S8D5C4,138243
A0A6S8B3U7,138254
A0A6S8C1E3,138264
A0A6S8CZK7,138278
A0A6S8D3H4,138285
A0A6S8B8W7,138295
A0A6S8B693,138300
A0A6S8ACQ1,138304
A0A6S8CCY9,138306
A0A6S8B0C1,138308
A0A6S8ARH1,138311
A0A6S8AU37,138311
A0A6S8BLU9,138319
A0A6S8AM19,138322
A0A6S8G149,138343
A0A6S8A5P4,138352
A0A6S8DG91,138363
A0A6S8A2J1,138364
A0A6S7ZVX2,138365
A0A6S8B2F9,138376
A0A6S8AT71,138391
A0A6S8ETE6,138416
A0A6S8FVR3,138417
A0A6S7ZXJ7,138428
A0A6S8F3X6,138428
A0A6S8EL48,138431
A0A6S8BG50,138432
A0A6S8F6P2,138437
A0A6S8G992,138448
A0A6S8E5I4,138458
A0A6S8F1W0,138480
A0A6S7ZSG4,138485
A0A6S8AEI5,138504
A0A6S7ZY97,138505
A0A6S8C4F9,138523
A0A6S8AFU2,138526
A0A6S8C4I1,138527
A0A6S8BCS0,138538
A0A6S8EEL9,138544
A0A6S8FEA6,138548
A0A6S8FNC6,138555
A0A6S8EFZ4,138558
A0A6S8E4U2,138580
A0A6S8B2N7,138585
A0A6S8B6Z8,138593
A0A6S8B5I7,138600
A0A6S7ZGZ7,138602
A0A6S8FX52,138603
A0A6S8GHF1,138609
A0A6S8C6L4,138611
A0A6S8AUU4,138612
A0A6S8F122,138639
A0A6S8CK26,138642
A0A6S8FG17,138644
A0A6S7ZVM9,138645
A0A6S8GCM7,138654
A0A6S8FJB0,138666
A0A6S8DEC5,138670
A0A6S8DLJ5,138684
A0A6S8BI81,138696
A0A6S8A7H0,138699
A0A6S8AU43,138701
A0A6S7ZWC5,138703
A0A6S8EU84,138707
A0A6S8ATM6,138754
A0A6S8CPU2,138764
A0A6S8DHA9,138767
A0A6S8DM58,138785
A0A6S8AAA3,138787
A0A6S8ETZ2,138797
A0A6S8B396,138805
A0A6S7ZVT2,138808
A0A6S8G9C6,138811
A0A6S8B129,138814
A0A6S8A210,138816
A0A6S7ZXD8,138819
A0A6S8ABT4,138823
A0A6S8AWF1,138824
A0A6S7ZY96,138834
A0A6S8BL43,138835
A0A6S8GBJ2,138844
A0A6S8A5V4,138850
A0A6S8BRN8,138852
A0A6S8A5P0,138889
A0A6S8DJG8,138890
A0A6S8BJH8,138891
A0A6S8ABV4,138892
A0A6S8DMD4,138903
A0A6S8DMP4,138903
A0A6S7ZS84,138909
A0A6S8B7E1,138917
A0A6S7ZVS4,138925
A0A6S8DFP8,138926
A0A6S8B793,138935
A0A6S8AQN8,138938
A0A6S8D6M2,138951
A0A6S8AX20,138952
A0A6S8A628,138958
A0A6S7ZG73,138959
A0A6S8BD36,138962
A0A6S8A5D6,138966
A0A6S8F1M1,138972
A0A6S8A543,138980
A0A6S8C2I0,138985
A0A6S8BZE5,138987
A0A6S8E928,138992
A0A6S8A3P9,138994
A0A6S8D150,138997
A0A6S8GHC8,139005
A0A6S8E5R6,139017
A0A6S8APY8,139023
A0A6S8FYH1,139025
A0A6S8BHJ3,139030
A0A6S8AY26,139034
A0A6S7ZW43,139035
A0A6S8FW75,139036
A0A6S8C2R9,139041
A0A6S8F3K1,139055
A0A6S8FCJ0,139058
A0A6S7ZG15,139062
A0A6S8FLP0,139066
A0A6S8FGG0,139073
A0A6S7ZJM5,139080
A0A6S8EU89,139081
A0A6S8DCV1,139089
A0A6S8AU49,139091
A0A6S8D3C6,139097
A0A6S7ZY73,139106
A0A6S8CK51,139108
A0A6S8BIC8,139114
A0A6S8CGN7,139122
A0A6S8EYJ7,139127
A0A6S8EU91,139128
A0A6S7ZIW7,139134
A0A6S8BDB2,139154
A0A6S8B6K7,139157
A0A6S8AGA6,139164
A0A6S8AS15,139165
A0A6S8A272,139168
A0A6S8B829,139169
A0A6S8B0V2,139170
A0A6S8BDY0,139171
A0A6S8ACN3,139175
A0A6S8EFG3,139191
A0A6S8BX48,139193
A0A6S8FRM5,139198
A0A6S8GHK8,139206
A0A6S8AT18,139209
A0A6S8EWQ7,139212
A0A6S8DVW0,139221
A0A6S8AY06,139225
A0A6S8E539,139252
A0A6S7ZQQ3,139270
A0A6S8AS40,139271
A0A6S7ZSJ6,139272
A0A6S8EJ78,139273
A0A6S8A2B7,139280
A0A6S7ZJ20,139287
A0A6S7ZQD5,139292
A0A6S8B040,139320
A0A6S8DYM9,139323
A0A6S8CQ45,139328
A0A6S8FF16,139330
A0A6S8A2W0,139352
A0A6S8AIT6,139364
A0A6S8EN73,139391
A0A6S8AQ89,139396
A0A6S8CAT4,139405
A0A6S8AI63,139427
A0A6S8CAE1,139430
A0A6S8FLJ2,139433
A0A6S8BZS9,139443
A0A6S8BWR6,139450
A0A6S8A4A5,139455
A0A6S8E6G1,139456
A0A6S8B8Y5,139461
A0A6S8GDM4,139465
A0A6S8CJK5,139467
A0A6S8DS45,139468
A0A6S8DZG8,139479
A0A6S8DYM0,139481
A0A6S8F222,139486
A0A6S8CNZ9,139491
A0A6S8ATY3,139494
A0A6S8AA57,139498
A0A6S8BXY6,139509
A0A6S8AXM0,139512
A0A6S8BCI1,139517
A0A6S8ECG5,139531
A0A6S8BR03,139547
A0A6S8C8R7,139555
A0A6S8B3H5,139562
A0A6S7ZJ51,139565
A0A6S8ABL2,139576
A0A6S8A1V2,139580
A0A6S8B3E9,139586
A0A6S8FYP5,139587
A0A6S8C229,139589
A0A6S8FU47,139593
A0A6S8DXF2,139598
A0A6S8AXS6,139603
A0A6S7ZQD7,139611
A0A6S8DDA9,139613
A0A6S8F4Q2,139617
A0A6S8C4P1,139621
A0A6S7ZZU3,139629
A0A6S8FVL0,139646
A0A6S8F2E2,139649
A0A6S8F2H1,139649
A0A6S8ECX0,139652
A0A6S7ZSZ2,139664
A0A6S8EWZ1,139686
A0A6S8AID4,139696
A0A6S8B4X9,139697
A0A6S7ZX94,139698
A0A6S7ZXS8,139711
A0A6S8FJF8,139713
A0A6S8AZS6,139715
A0A6S8FIV9,139724
A0A6S8GSV1,139726
A0A6S8EVI9,139729
A0A6S7ZVD4,139732
A0A6S8AXW4,139739
A0A6S8AZG3,139742
A0A6S8BQF9,139744
A0A6S8BVX9,139747
A0A6S8EIA4,139750
A0A6S8CBY6,139751
A0A6S8DIS5,139753
A0A6S8CWN0,139758
A0A6S8CBE4,139766
A0A6S8CDC3,139772
A0A6S8F6U8,139776
A0A6S8FYJ0,139778
A0A6S8FDH1,139779
A0A6S8CQZ8,139782
A0A6S8CP40,139785
A0A6S8C2J9,139786
A0A6S8A5Y8,139787
A0A6S8E6Z4,139788
A0A6S7ZVT1,139791
A0A6S8ATK7,139795
A0A6S8AXX3,139799
A0A6S8ANG2,139802
A0A6S8FMA8,139813
A0A6S8AWS5,139828
A0A6S8GCC3,139830
A0A6S8B3X1,139852
A0A6S8AS24,139853
A0A6S8AL00,139855
A0A6S8F9K2,139856
A0A6S8DLQ7,139863
A0A6S8ET15,139867
A0A6S8AUU5,139877
A0A6S8CQA9,139881
A0A6S8EX23,139888
A0A6S8DRI0,139905
A0A6S8B098,139914
A0A6S8E7S0,139915
A0A6S8DFA4,139934
A0A6S8ACZ6,139936
A0A6S8DIQ8,139942
A0A6S8CGQ9,139949
A0A6S8D8U1,139957
A0A6S8FRL4,139960
A0A6S7ZSE8,139962
A0A6S8C3Q4,139964
A0A6S7ZW45,139967
A0A6S8BB57,139978
A0A6S7ZZU1,139981
A0A6S8F0Y7,140009
A0A6S8GCZ2,140023
A0A6S8AJM1,140029
A0A6S8EII3,140047
A0A6S8DHK1,140061
A0A6S8EE30,140066
A0A6S8F0H9,140068
A0A6S8A9V9,140071
A0A6S7ZXZ0,140078
A0A6S8FB47,140105
A0A6S8AZK3,140113
A0A6S8ADW9,140115
A0A6S8DQE8,140120
A0A6S8APR5,140144
A0A6S7ZL97,140148
A0A6S7ZL06,140167
A0A6S8A7I6,140170
A0A6S8AKU8,140172
A0A6S8CHA3,140186
A0A6S8E8H0,140202
A0A6S8EDJ3,140204
A0A6S8F7M8,140207
A0A6S8F621,140208
A0A6S8F4C3,140210
A0A6S8EV75,140211
